title,year,codec,resolution,size_gb,bpp,hdr_status,cambi_score,block_mean,blur_mean,encoder_settings,verdict,audio,relative_path
A Silent Voice,2016,AV1,1080p,1.94,0.043,SDR,0.02,0.0,0.0,None,STARVED-BUT-CLEAN,EAC3 6ch,A.Silent.Voice.2016.1080p.NF.WEB-DL.DDP5.1.AV1-Saon/A.Silent.Voice.2016.1080p.NF.WEB-DL.DDP5.1.AV1-Saon.mkv
Amadeus,1984,AV1,2160p,11.41,0.0513,DV/HDR10,0.038,0.0,0.0,None,STARVED-BUT-CLEAN,DTS 6ch,Amadeus.1984.Theatrical.Cut.UHD.BluRay.2160p.DTS-HD.MA.5.1.DV.HDR.AV1-R and H/Amadeus.1984.Theatrical.Cut.UHD.BluRay.2160p.DTS-HD.MA.5.1.DV.HDR.AV1-R and H.mkv
Avengers-Endgame-2019-IMAX-2160p DSNP WEB-DL Hybrid H265 DV HDR DDP Atmos 5.1 English-HONE-REPACK-,0,HEVC,2160p,17.34,0.0689,DV/HDR10,0.026,0.0,0.0,None,STARVED-BUT-CLEAN,EAC3 6ch,Avengers-Endgame-2019-IMAX-2160p DSNP WEB-DL Hybrid H265 DV HDR DDP Atmos 5.1 English-HONE-REPACK-/Avengers-Endgame-2019-IMAX-2160p DSNP WEB-DL Hybrid H265 DV HDR DDP Atmos 5.1 English-HONE-REPACK-.mkv
Bu Liu Huo Kou,2026,HEVC,2160p,5.22,0.0549,HDR10,1.765,0.0,0.0,None,STARVED-BUT-CLEAN,AAC 2ch,Bu.Liu.Huo.Kou.2026.2160p.WEB-DL.H.265.HDR.DDP2.0.2Audios-HHWEB/Bu.Liu.Huo.Kou.2026.2160p.WEB-DL.H.265.HDR.DDP2.0.2Audios-HHWEB.mkv
Capernaum,2018,AV1,1080p,1.43,0.0325,SDR,0.096,1.31,7.246,None,ARTIFACT-POSITIVE,EAC3 6ch,Capernaum.2018.1080p.NF.WEB-DL.DDP5.1.AV1-Saon/Capernaum.2018.1080p.NF.WEB-DL.DDP5.1.AV1-Saon.mkv
Casino,1995,HEVC,2160p,19.2,0.0776,HDR10,0.104,0.0,0.0,psy-rd=4.00 rc=abr bitrate=15000 qcomp=0.60 aq-mode=0,STARVED-BUT-CLEAN,EAC3 6ch,Casino.1995.2160p.PCOK.WEB-DL.DDP.5.1.HDR.H.265-PiRaTeS/Casino.1995.2160p.PCOK.WEB-DL.DDP.5.1.HDR.H.265-PiRaTeS.mkv
Chinatown,1974,HEVC,2160p,13.17,0.0727,DV/HDR10,0.028,0.0,0.0,None,STARVED-BUT-CLEAN,EAC3 6ch,Chinatown.1974.2160p.PMTP.WEB-DL.DDP.5.1.DV.HDR.H.265-PiRaTeS/Chinatown.1974.2160p.PMTP.WEB-DL.DDP.5.1.DV.HDR.H.265-PiRaTeS.mkv
Finding Nemo,2003,HEVC,2160p,9.66,0.069,DV/HDR10,1.778,0.0,0.0,None,STARVED-BUT-CLEAN,EAC3 6ch,Finding.Nemo.2003.2160p.DSNP.WEB-DL.DDP5.1.Atmos.DV.HDR.H.265-Kitsune/Finding.Nemo.2003.2160p.DSNP.WEB-DL.DDP5.1.Atmos.DV.HDR.H.265-Kitsune.mkv
Grand Theft Auto VI An Extended Look,2026,HEVC,2160p,2.36,0.0507,SDR,0.477,0.0,0.0,None,STARVED-BUT-CLEAN,EAC3 6ch,Grand.Theft.Auto.VI.An.Extended.Look.2026.2160p.NF.WEB-DL.DDP5.1.H.265-FLUX/Grand.Theft.Auto.VI.An.Extended.Look.2026.2160p.NF.WEB-DL.DDP5.1.H.265-FLUX.mkv
Green.Book.2018-2160p.BluRay.HDR10.Encode.AV1.DTS.5.1-RandH,0,AV1,2160p,8.05,0.0502,HDR10,0.721,0.0,0.0,None,STARVED-BUT-CLEAN,DTS 6ch,Green.Book.2018-2160p.BluRay.HDR10.Encode.AV1.DTS.5.1-RandH/Green.Book.2018-2160p.BluRay.HDR10.Encode.AV1.DTS.5.1-RandH.mkv
