date,title,tmdb_id,group,codec,res,size_gb,explorer_score,prod_would_score,delta,status,verdict_ref
2026-08-27,The Shawshank Redemption,278,R,AV1,2160p,9.82,1400,1900,-500,grabbed,
2026-08-27,The Rip,1306368,FLUX,Unknown,2160p,15.25,2450,2450,0,grabbed,The Rip:FLUX
2026-08-27,The Deer Hunter,11778,R,AV1,2160p,12.18,4350,4850,-500,grabbed,
2026-08-27,The Bourne Ultimatum,2503,Bi0hazard,AV1,2160p,18.89,3600,3600,0,watched,The Bourne Ultimatum:Bi0hazard
2026-08-27,The Bourne Supremacy,2502,MainFrame,x265,2160p,22.28,2200,2200,0,grabbed,
2026-08-27,John Wick,245891,Rob74K,AV1,2160p,14.00,4950,4950,0,grabbed,John Wick:Rob74K
2026-08-27,Fury,228150,Smokindevil,AV1,2160p,11.24,4950,5950,-1000,watched,Fury:Smokindevil
2026-08-27,Blade Runner,78,hallowed,x265,2160p,15.00,2150,2150,0,watched,Blade Runner:hallowed
2026-08-27,Blade Runner,78,RandH,AV1,2160p,8.08,1400,1900,-500,grabbed,
2026-08-26,X-Men Origins: Wolverine,2080,ChopperHitler,AV1,1080p,3.73,3900,4900,-1000,grabbed,
2026-08-26,The Wolverine,76170,R,AV1,2160p,5.73,2000,2500,-500,grabbed,
2026-08-26,The Shawshank Redemption,278,hallowed,x265,2160p,18.10,2150,2150,0,grabbed,
2026-08-26,The Outsiders,227,c0kE,x265,2160p,23.04,4900,4900,0,grabbed,
2026-08-26,The Hunt,103663,KIMJI,AV1,1080p,3.59,3750,4250,-500,grabbed,
2026-08-26,Robin Hood,20662,ZAX,x265,2160p,28.46,-850,-850,0,grabbed,
2026-08-26,Melancholia,62215,HONE,Unknown,1080p,4.44,950,950,0,grabbed,
2026-08-26,Logan,263115,HONE,Unknown,2160p,17.97,2400,2400,0,grabbed,
2026-08-26,Jurassic World,135397,BHDStudio,x265,2160p,15.74,2150,2150,0,grabbed,
2026-08-26,Johnny English,9486,BLUTONiUM,x265,2160p,17.70,2000,2000,0,grabbed,
2026-08-26,John Wick: Chapter 2,324552,Waldek,AV1,2160p,16.94,1850,1850,0,grabbed,
2026-08-26,John Wick,245891,R,AV1,2160p,6.32,1400,1900,-500,grabbed,
2026-08-26,Greenland,524047,hallowed,x265,2160p,19.73,1700,1700,0,grabbed,
2026-08-26,Easy A,37735,onlyfaffs,AV1,1080p,3.04,950,1450,-500,grabbed,
2026-08-26,Dark Phoenix,320288,ChopperHitler,AV1,2160p,6.38,900,1900,-1000,grabbed,
2026-08-26,City of God,598,DarQ,x265,1080p,8.49,-1850,-1850,0,grabbed,
2026-08-26,Cast Away,8358,onlyfaffs,AV1,1080p,4.22,3750,4250,-500,grabbed,
2026-08-26,Caroline - den sidste rejse,394311,ADDICTION,x264,1080p,4.33,-7000,-7000,0,grabbed,
2026-08-26,Blackhat,201088,HONE,x265,2160p,24.10,-550,-550,0,grabbed,
2026-08-26,Akira,149,BHDStudio,x265,2160p,14.82,1500,1500,0,grabbed,
