relative_path,title,year,codec,resolution,width,height,fps,duration_sec,size_gb,bitrate_kbps,bpp,status_flag,audio
12.Angry.Men.1957.PROPER.UHD.BluRay.2160p.AAC.2.0.DV.HDR.x265-hallowed/12.Angry.Men.1957.PROPER.UHD.BluRay.2160p.AAC.2.0.DV.HDR.x265-hallowed.mkv,12 Angry Men,1957,HEVC,2160p,3840,2076,24.0,5757.1,10.93,16309.3,0.0852,OPTIMAL,AAC 2ch
12.Years.a.Slave.2013.1080p.BluRay.DTS.x264-SbR/12.Years.a.Slave.2013.1080p.BluRay.DTS.x264-SbR.mkv,12 Years a Slave,2013,H264,1080p,1920,800,23.976,8050.09,15.43,16460.7,0.447,RES-ANOMALY,DTS 6ch
1917.2019.UHD.BluRay.2160p.TrueHD.7.1.Atmos.DV.HDR10+.AV1-RandH/1917.2019.UHD.BluRay.2160p.TrueHD.7.1.Atmos.DV.HDR10+.AV1-RandH.mkv,1917,2019,AV1,2160p,3840,2160,23.976,7139.49,9.61,11565.2,0.0582,OPTIMAL,TRUEHD 8ch
2001.A.Space.Odyssey.1968.UHD.BluRay.2160p.DDP.5.1.DV.HDR10Plus.x265-hallowed/2001.A.Space.Odyssey.1968.UHD.BluRay.2160p.DDP.5.1.DV.HDR10Plus.x265-hallowed.mkv,2001 A Space Odyssey,1968,HEVC,2160p,3840,1744,23.976,8929.3,17.37,16709.8,0.1041,OPTIMAL,EAC3 6ch
3.Idiots.2009.1080p.NF.WEB-DL.DDP5.1.AV1-Saon/3.Idiots.2009.1080p.NF.WEB-DL.DDP5.1.AV1-Saon.mkv,3 Idiots,2009,AV1,1080p,1920,1080,23.976,10293.44,2.73,2275.1,0.0458,RES-ANOMALY,EAC3 6ch
72 HOURS 2026 2160p NF WEB-DL DDP5 1 Atmos DV HDR H 265-FLUX/72 HOURS 2026 2160p NF WEB-DL DDP5 1 Atmos DV HDR H 265-FLUX.mkv,72 HOURS,2026,HEVC,2160p,3840,2160,24.0,6315.42,14.39,19571.5,0.0983,OPTIMAL,EAC3 6ch
A.Beautiful.Mind.2001.2160p.MA.WEB-DL.TrueHD.Atmos.7.1.DV.HDR10P.H.265-TheFarm/A.Beautiful.Mind.2001.2160p.MA.WEB-DL.TrueHD.Atmos.7.1.DV.HDR10P.H.265-TheFarm.mkv,A Beautiful Mind,2001,HEVC,2160p,3840,2160,23.976,8111.85,26.99,28583.9,0.1437,REFERENCE/HEAVY,TRUEHD 8ch
A.Clockwork.Orange.1971.REPACK.UHD.BluRay.2160p.DDP.5.1.DV.HDR.x265-hallowed/A.Clockwork.Orange.1971.REPACK.UHD.BluRay.2160p.DDP.5.1.DV.HDR.x265-hallowed.mkv,A Clockwork Orange,1971,HEVC,2160p,3584,2160,23.976,8195.52,17.95,18813.3,0.1014,OPTIMAL,EAC3 6ch
A.Royal.Affair.2012.1080p.BluRay.HBR.HEVC-HQ.Opus.5.1-MrTentsaw/A.Royal.Affair.2012.1080p.BluRay.HBR.HEVC-HQ.Opus.5.1-MrTentsaw.mkv,A Royal Affair,2012,HEVC,1080p,1920,816,23.976,8267.31,14.14,14695.5,0.3912,RES-ANOMALY,OPUS 6ch
A.Silent.Voice.2016.1080p.NF.WEB-DL.DDP5.1.AV1-Saon/A.Silent.Voice.2016.1080p.NF.WEB-DL.DDP5.1.AV1-Saon.mkv,A Silent Voice,2016,AV1,1080p,1920,1080,23.976,7774.5,1.94,2138.5,0.043,RES-ANOMALY,EAC3 6ch
Akira.1988.UHD.BluRay.2160p.DD.5.1.HDR.x265-BHDStudio.mp4-xpost/Akira.1988.UHD.BluRay.2160p.DD.5.1.HDR.x265-BHDStudio.mp4-xpost.mp4,Akira,1988,HEVC,2160p,3840,2072,23.976,7486.5,14.36,16479.9,0.0864,OPTIMAL,AC3 6ch
